化学式,DOI,充电电压,放电电压,dope,cover,per,cover_material,NSI,R,N,C,0.1C,1C,ICE,I/I,charge_Li,charge_O,charge_F,charge_Na,charge_Mg,charge_Al,charge_S,charge_K,charge_Mn,charge_Fe,charge_Co,charge_Ni,charge_Zr,charge_W,charge_Ta,chaege_Mo
Li1.1Ni0.21Mn0.65Al0.04O2,10.1038/s41560-023-01289-6,2,4.7,1,0,0,,0.505964426,0.960 ,50,0.1,254.40 ,219.00 ,0.759 ,1.620 ,1.100 ,2.000 ,0.000 ,0.000 ,0.000 ,0.040 ,0.000 ,0.000 ,0.650 ,0.000 ,0.000 ,0.210 ,0.000 ,0.000 ,0.000 ,0.000 
LiNi0.85Mn0.10Co0.05O2,10.1039/D4TA05506C,2.8,4.3,1,0,0,,0.847490413,0.670 ,120,0.1,216.00 ,177.92 ,0.800 ,1.255 ,1.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.100 ,0.000 ,0.050 ,0.850 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.04Ni0.75Mn0.19Co0.06O2=0.8LiNi0.85Mn0.10Co0.05O2–0.2Li1.2Ni0.16Mn0.56Co0.08O2,,2.8,4.3,1,0,0,,1.125770847,0.890 ,120,0.1,212.00 ,151.40 ,0.830 ,1.640 ,1.040 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.190 ,0.000 ,0.060 ,0.750 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.08Ni0.9Mn0.1O2,10.1016/j.ensm.2023.102775,2.7,4.6,1,0,0,,1.011928851,0.960 ,100,0.1,191.00 ,171.00 ,0.840 ,0.598 ,1.080 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.100 ,0.000 ,0.000 ,0.900 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.2Mn0.535Ni0.128Co0.132O2,10.1016/j.jpowsour.2018.12.069,2,4.8,1,0,0,,0.819029914,0.777 ,100,0.1,284.20 ,170.80 ,0.819 ,1.600 ,1.200 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.535 ,0.000 ,0.132 ,0.128 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.2Mn0.542Ni0.126Co0.129O2,,2,4.8,1,0,0,,0.582913182,0.553 ,100,0.1,265.30 ,156.90 ,0.798 ,2.190 ,1.200 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.542 ,0.000 ,0.129 ,0.126 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.2Mn0.538Ni0.131Co0.127O2,,2,4.8,1,0,0,,0.664078309,0.630 ,100,0.1,253.30 ,143.90 ,0.849 ,1.500 ,1.200 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.538 ,0.000 ,0.127 ,0.131 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.2Mn0.6Ni0.2O2,10.1149/1945-7111/acaa5c,2.5,4.8,1,0,0,,2.624690458,0.830 ,300,0.1,237.00 ,183.00 ,0.750 ,1.543 ,1.200 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.600 ,0.000 ,0.000 ,0.200 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.168Ta0.002(Ni0.139Co0.139Mn0.552)0.998Mo0.002O2,10.1021/acsami.1c03981,2,4.8,1,0,0,,2.023857703,0.800 ,240,0.1,255.48 ,243.20 ,0.822 ,1.947 ,1.168 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.551 ,0.000 ,0.139 ,0.139 ,0.000 ,0.000 ,0.002 ,0.002 
Na0.05Li1.15Mn0.54Ni0.13Co0.13F0.01O1.99(CD),10.1021/acsami.9b13838,2,4.8,1,0,0,,0.959224224,0.910 ,100,0.1,260.00 ,164.00 ,0.790 ,1.800 ,1.150 ,1.990 ,0.000 ,0.050 ,0.000 ,0.000 ,0.000 ,0.000 ,0.540 ,0.000 ,0.130 ,0.130 ,0.000 ,0.000 ,0.000 ,0.000 
Na0.05Li1.15Mn0.54Ni0.13Co0.13O2(N50),,2,4.8,1,0,0,,0.917060521,0.870 ,100,0.1,244.90 ,159.40 ,0.796 ,1.730 ,1.150 ,2.000 ,0.000 ,0.050 ,0.000 ,0.000 ,0.000 ,0.000 ,0.540 ,0.000 ,0.130 ,0.130 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.2Mn0.54Ni0.13Co0.13F0.01O1.99(F10),,2,4.8,1,0,0,,0.990847,0.940 ,100,0.1,254.70 ,162.40 ,0.819 ,1.780 ,1.200 ,1.990 ,0.010 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.540 ,0.000 ,0.130 ,0.130 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.2Mn0.54Ni0.13Co0.13O2(PR),,2,4.8,1,0,0,,0.864355894,0.820 ,100,0.1,231.00 ,131.90 ,0.773 ,1.680 ,1.200 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.540 ,0.000 ,0.130 ,0.130 ,0.000 ,0.000 ,0.000 ,0.000 
Na0.03Li1.17Mn0.54Ni0.13Co0.13O2(N30),,2,4.8,1,0,0,,0.89597867,0.850 ,100,0.1,221.00 ,122.20 ,0.820 ,1.876 ,1.170 ,2.000 ,0.000 ,0.030 ,0.000 ,0.000 ,0.000 ,0.000 ,0.540 ,0.000 ,0.130 ,0.130 ,0.000 ,0.000 ,0.000 ,0.000 
Na0.07Li1.13Mn0.54Ni0.13Co0.13O2(N70),,2,4.8,1,0,0,,0.822192192,0.780 ,100,0.1,218.00 ,139.70 ,0.796 ,1.858 ,1.130 ,2.000 ,0.000 ,0.070 ,0.000 ,0.000 ,0.000 ,0.000 ,0.540 ,0.000 ,0.130 ,0.130 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.2Mn0.54Ni0.13Co0.13F0.005O1.995(F05),,2,4.8,1,0,0,,0.822192192,0.780 ,100,0.1,208.20 ,132.80 ,0.819 ,1.876 ,1.200 ,1.995 ,0.005 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.540 ,0.000 ,0.130 ,0.130 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.2Mn0.54Ni0.13Co0.13F0.015O1.985(F15),,2,4.8,1,0,0,,0.558669053,0.530 ,100,0.1,210.70 ,123.20 ,0.819 ,1.896 ,1.200 ,1.985 ,0.015 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.540 ,0.000 ,0.130 ,0.130 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.9Ni0.35Mn0.65O2,10.3938/jkps.77.1035,2,4.8,1,0,0,,0.706242011,0.670 ,100,0.1,191.40 ,150.30 ,0.583 ,2.292 ,1.900 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.650 ,0.000 ,0.000 ,0.350 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.2Mn0.54Ni0.13Co0.13O2,10.1016/j.ceramint.2021.03.162,2,4.8,1,0,0,,0.83800358,0.795 ,100,0.1,257.08 ,195.41 ,0.787 ,1.477 ,1.200 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.540 ,0.000 ,0.130 ,0.130 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.15Ni0.28Mn0.57O1.99F0.01,10.1021/acsaem.4c00869,2,4.8,1,0,0,,0.793731693,0.753 ,100,0.1,247.00 ,188.60 ,0.818 ,1.858 ,1.150 ,0.010 ,0.010 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.570 ,0.000 ,0.000 ,0.280 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.15Ni0.28Mn0.57O1.97F0.03,,2,4.8,1,0,0,,0.789515322,0.749 ,100,0.1,255.00 ,178.80 ,0.847 ,1.731 ,1.150 ,0.030 ,0.030 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.570 ,0.000 ,0.000 ,0.280 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.15Ni0.28Mn0.57O1.95F0.05,,2,4.8,1,0,0,,0.801110341,0.760 ,100,0.1,233.00 ,184.40 ,0.832 ,1.549 ,1.150 ,0.050 ,0.050 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.570 ,0.000 ,0.000 ,0.280 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.15Ni0.28Mn0.57O1.9F0.1,,2,4.8,1,0,0,,0.755784361,0.717 ,100,0.1,233.00 ,167.60 ,0.841 ,1.478 ,1.150 ,0.100 ,0.100 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.570 ,0.000 ,0.000 ,0.280 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.15Ni0.28Mn0.57O2,,2,4.8,1,0,0,,0.799002155,0.758 ,100,0.1,240.00 ,187.90 ,0.805 ,1.250 ,1.150 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.570 ,0.000 ,0.000 ,0.280 ,0.000 ,0.000 ,0.000 ,0.000 
Li[Li 0.2Mn0.6Ni0.1Co0.1]O2,10.1149/2.0511903jes,2,4.8,1,0,0,,0.322440692,0.500 ,100,0.684,261.22 ,207.93 ,0.829 ,1.360 ,1.200 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.600 ,0.000 ,0.100 ,0.050 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.2Ni0.2Mn0.6O2,0.1016/j.jelechem.2022.116986,2,4.8,1,0,0,,0.844190197,0.809 ,140,0.2,210.00 ,150.00 ,0.758 ,1.893 ,1.200 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.600 ,0.000 ,0.000 ,0.210 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.2Ni0.20Mn0.48Co0.12O2,,2,4.8,1,0,0,,0.859842673,0.824 ,140,0.2,224.00 ,160.00 ,0.820 ,1.872 ,1.200 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.480 ,0.000 ,0.120 ,0.200 ,0.000 ,0.000 ,0.000 ,0.000 
0.9(LiMnO2)-0.1(Li2MnO3),10.1155/2021/9312358,2,4.8,1,0,0,,0.350724963,0.930 ,80,0.5,216.00 ,208.00 ,0.727 ,1.213 ,1.100 ,2.100 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,1.000 ,0.000 ,0.000 ,0.200 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.2Ni0.4Mn0.34W0.06O2,10.1016/j.electacta.2021.137808,2,4.8,1,0,0,,0.148333333,0.890 ,50,1,245.00 ,195.00 ,0.800 ,1.164 ,1.200 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.340 ,0.000 ,0.000 ,0.400 ,0.000 ,0.060 ,0.000 ,0.000 
Li1.2Ni0.4Mn0.4O2,,2,4.8,1,0,0,,0.163333333,0.980 ,50,1,195.00 ,145.00 ,0.690 ,1.572 ,1.200 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.400 ,0.000 ,0.000 ,0.400 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.2Ni0.2Mn0.6O2,10.1016/j.jcis.2022.10.105,2,4.8,1,0,0,,0.4825,0.965 ,150,1,259.40 ,188.20 ,0.787 ,1.480 ,1.200 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.600 ,0.000 ,0.000 ,0.200 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.2Mn0.54Ni0.13Co0.13O2,10.1016/j.jelechem.2022.116250,2,4.8,1,0,0,,0.361095863,0.766 ,100,0.5,289.70 ,213.74 ,0.835 ,1.510 ,1.200 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.540 ,0.000 ,0.130 ,0.130 ,0.000 ,0.000 ,0.000 ,0.000 
0.5LiNi0.6Mn0.2Co0.2O2 · 0.5Li1.2Ni0.16Mn0.56Co0.08O2,10.1002/celc.202200786,2,4.6,1,0,0,,0.874896819,0.830 ,100,0.1,186.00 ,151.68 ,0.808 ,1.406 ,1.100 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.380 ,0.000 ,0.140 ,0.380 ,0.000 ,0.000 ,0.000 ,0.000 
LiNi0.6Mn0.2Co0.2O2,,2,4.6,1,0,0,,0.368932394,0.350 ,100,0.1,200.00 ,163.98 ,0.888 ,1.594 ,1.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.200 ,0.000 ,0.200 ,0.600 ,0.000 ,0.000 ,0.000 ,0.000 
0.25 LiNi0.6Mn0.2Co0.2O2 · 0.75 Li1.2Ni0.16Mn0.56Co0.08O2,,2,4.6,1,0,0,,0.843274043,0.800 ,100,0.1,205.00 ,157.54 ,0.820 ,1.411 ,1.150 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.470 ,0.000 ,0.110 ,0.270 ,0.000 ,0.000 ,0.000 ,0.000 
Li4Mn5O12–Li2MnO3,10.1016/j.est.2019.04.028,1.25,4.75,1,0,0,,0.938142373,0.890 ,100,0.1,318.00 ,213.74 ,0.815 ,2.673 ,3.000 ,9.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,3.500 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.2Mn0.54Ni0.13Co0.13O2(111),10.1007/s11581-021-04093-y,2,4.8,1,0,0,,0.425,0.850 ,150,1,251.00 ,187.00 ,0.721 ,1.430 ,1.200 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.540 ,0.000 ,0.130 ,0.130 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.2Mn0.52Ni0.20Co0.08O2(523),,2,4.8,1,0,0,,0.435,0.870 ,150,1,247.00 ,200.00 ,0.774 ,1.410 ,1.200 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.520 ,0.000 ,0.080 ,0.200 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.2Mn0.48Ni0.24Co0.08O2(622),,2,4.8,1,0,0,,0.455,0.910 ,150,1,232.00 ,188.00 ,0.734 ,1.460 ,1.200 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.480 ,0.000 ,0.080 ,0.240 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.2Mn0.44Ni0.32Co0.04O2(811),,2,4.8,1,0,0,,0.435,0.870 ,150,1,228.00 ,181.00 ,0.710 ,1.230 ,1.200 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.440 ,0.000 ,0.040 ,0.320 ,0.000 ,0.000 ,0.000 ,0.000 
LiNi0.8Co0.1Mn0.1O2,10.1016/j.apsusc.2022.153479,2.8,4.6,1,0,0,,0.270333333,0.811 ,100,1,220.00 ,190.70 ,0.816 ,1.548 ,1.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.100 ,0.000 ,0.100 ,0.800 ,0.000 ,0.000 ,0.000 ,0.000 
LiNi0.8Co0.1Mn0.1O2@3%Li2MnO3,,2.8,4.6,0,1,3,3%Li2MnO3,0.283,0.849 ,100,1,218.20 ,193.60 ,0.805 ,1.439 ,1.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.100 ,0.000 ,0.100 ,0.800 ,0.000 ,0.000 ,0.000 ,0.000 
LiNi0.8Co0.1Mn0.1O2@5%Li2MnO3,,2.8,4.6,0,1,5,5%Li2MnO3,0.302,0.906 ,100,1,212.90 ,186.90 ,0.799 ,1.588 ,1.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.100 ,0.000 ,0.100 ,0.800 ,0.000 ,0.000 ,0.000 ,0.000 
LiNi0.8Co0.1Mn0.1O2@10%Li2MnO3,,2.8,4.6,0,1,10,10%Li2MnO3,0.278666667,0.836 ,100,1,193.10 ,181.90 ,0.779 ,1.629 ,1.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.100 ,0.000 ,0.100 ,0.800 ,0.000 ,0.000 ,0.000 ,0.000 
0.6Li2MnO3·0.4Li [Fe1/3Ni1/ 3Mn1/3]O2,10.1016/j.jpowsour.2020.229410,2,4.8,1,0,0,,1.054092553,1.000 ,100,0.1,169.70 ,142.88 ,0.583 ,1.373 ,1.600 ,2.600 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.730 ,0.130 ,0.000 ,0.130 ,0.000 ,0.000 ,0.000 ,0.000 
LiNi0.90Co0.05Mn0.05O2,10.1016/j.partic.2024.09.019,3,4.3,1,0,0,,0.572,0.858 ,200,1,226.10 ,201.90 ,0.861 ,1.721 ,1.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.050 ,0.000 ,0.050 ,0.900 ,0.000 ,0.000 ,0.000 ,0.000 
LiNi0.90Co0.05Mn0.05O2@2wt%Li2MnO3,,3,4.3,0,1,,2%Li2MnO3,0.610666667,0.916 ,200,1,218.20 ,204.20 ,0.850 ,1.722 ,1.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.050 ,0.000 ,0.050 ,0.900 ,0.000 ,0.000 ,0.000 ,0.000 
Li(Ni0.90Co0.05Mn0.05)0.98Ta0.02O2,,3,4.3,1,0,0,,0.588666667,0.883 ,200,1,224.70 ,206.90 ,0.870 ,1.752 ,1.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.050 ,0.000 ,0.050 ,0.900 ,0.000 ,0.000 ,0.000 ,0.000 
Li(Ni0.90Co0.05Mn0.05)0.98Ta0.02O2@2wt%Li2MnO3,,3,4.3,0,1,0,,0.620666667,0.931 ,200,1,220.10 ,209.20 ,0.866 ,1.753 ,1.000 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.050 ,0.000 ,0.050 ,0.900 ,0.000 ,0.000 ,0.000 ,0.000 
Li[Li0.2Ni0.13Co0.13Mn0.54]O2,10.1149/2.0441809jes,2,4.8,1,0,0,,0.196333333,0.589 ,100,1,212.20 ,165.20 ,0.740 ,2.105 ,1.200 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.540 ,0.000 ,0.130 ,0.130 ,0.000 ,0.000 ,0.000 ,0.000 
Li[Li0.2Ni0.13Co0.13Mn0.54]O2@0.5wt Al2O3,,2,4.8,0,1,0,,0.246666667,0.740 ,100,1,234.40 ,187.30 ,0.840 ,1.774 ,1.200 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.540 ,0.000 ,0.130 ,0.130 ,0.000 ,0.000 ,0.000 ,0.000 
Li(Li0.2Zr0.008Mn0.542Ni0.15Co0.1)O2,10.1149/2.0751813jes,2.5,4.8,1,0,0,,0.824300377,0.782 ,100,0.1,210.00 ,131.70 ,0.677 ,1.418 ,1.200 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.542 ,0.000 ,0.100 ,0.150 ,0.000 ,0.000 ,0.000 ,0.000 
Li(Li0.2Mn0.55Ni0.15Co0.1)O2,,2.5,4.8,1,0,0,,0.279334527,0.265 ,100,0.1,275.00 ,208.26 ,0.785 ,1.561 ,1.200 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.550 ,0.000 ,0.100 ,0.150 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.165Mn0.495Ni0.165Co0.165O2,10.1016/j.electacta.2020.137471,2,4.8,1,0,0,,0.43,0.645 ,200,1,244.00 ,178.30 ,0.969 ,1.530 ,1.165 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.495 ,0.000 ,0.165 ,0.165 ,0.000 ,0.000 ,0.000 ,0.000 
L1.135K0.03Mn0.495Ni0.165Co0.165O2,,2,4.8,1,0,0,,0.506,0.759 ,200,1,248.00 ,185.50 ,0.983 ,1.630 ,1.135 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.030 ,0.495 ,0.000 ,0.165 ,0.165 ,0.000 ,0.000 ,0.000 ,0.000 
L1.135K0.03Mn0.495Ni0.165Co0.165O2S0.02,,2,4.8,1,0,0,,0.580666667,0.871 ,200,1,232.00 ,197.90 ,0.997 ,1.730 ,1.135 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.020 ,0.030 ,0.495 ,0.000 ,0.165 ,0.165 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.2Mn0.54Ni0.13Co0.13O2,10.1016/j.electacta.2023.143665,2,4.8,1,0,0,,0.535333333,0.803 ,200,1,259.00 ,204.43 ,0.829 ,2.461 ,1.200 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.540 ,0.000 ,0.130 ,0.130 ,0.000 ,0.000 ,0.000 ,0.000 
Li1.2Mn0.54Ni0.13Co0.13O2@3%Ti3C2,,2,4.8,0,1,3,3wtTi3C2,0.618666667,0.928 ,200,1,269.00 ,232.70 ,0.912 ,1.704 ,1.200 ,2.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.540 ,0.000 ,0.130 ,0.130 ,0.000 ,0.000 ,0.000 ,0.000 
